char_name,nu03,nu11,nu12,on_pixel_frac,on_pixel_x_var,on_pixel_y_var,font_name,dct_0,dct_1,dct_2,dct_3,dct_4,dct_5
comma,0.00012091686093720073,0.00015775983596055408,-7.564284715452582e-05,0.00392156862745098,0.6875,0.5,calibri,8112.187500000001,29.73677664378118,-52.20575431058878,40.305292769864664,32.50962259648486,-13.127918687247142
zero,-0.0002487693273022215,0.0002263910107874404,0.0009288838635302491,0.052415210688591986,6.386005382545176,7.313341022683583,calibrib,7881.093750000001,-5.840091471611041,239.69679783029494,317.4047134346972,5.626301368496685,69.0619766611474
one,-5.748359630419582e-05,1.8364048425095767e-05,0.0007118976274554925,0.03959390862944162,8.725838264299806,3.78698224852071,calibrib,7944.843750000001,-27.47831881321226,200.18661861457295,249.67005129503676,21.344843078157233,33.76060215383287
two,-0.00015584658801946083,0.00017056675092901152,0.0007179130618384132,0.04383282364933741,8.881557598702,4.663061114115738,calibrib,7777.500000000001,21.084660255048927,338.2035858642995,407.3516537253554,-12.147245383908626,73.0014156461267
three,-0.00014826558239969083,9.090243108973465e-05,0.0006282724356222412,0.045965270684371805,8.036543209876543,5.429135802469137,calibrib,7857.187500000001,0.10523012735676895,220.01866358772568,343.9092706237957,-1.9621982141725864,155.67261398560396
four,-0.0002188152089380651,8.986486540949242e-05,0.0003426089289381573,0.04065040650406504,5.644375000000001,5.51,calibrib,7857.187500000001,-5.145323402520745,140.9186267302942,377.8013646882632,3.8217371812943153,292.81885870545426
five,-0.00020576466767128742,-6.971895289130523e-06,0.00021274332490556593,0.04383282364933741,8.270416441319632,5.521903731746891,calibrib,7817.343750000001,-7.046750560508445,99.37543463829451,398.7721827148271,-1.2885304687610226,369.0170708078308
six,-0.0001155324388213025,-3.443348674118313e-05,-9.455700264103993e-05,0.050256410256410255,6.652228238234071,6.6264056643065405,calibrib,7777.500000000001,2.3111681852839108,-3.370096580559178,453.81055791803306,-3.0316458841697824,447.1238519961648
seven,-0.00030686797654091037,2.4369807657235765e-05,-0.00010367236894312062,0.03434343434343434,7.816608996539792,4.031141868512111,calibrib,7857.187500000001,-96.48358840456244,-49.612313525784586,301.5148854496771,-2.707528909279246,373.77952641715314
eight,-0.0002601252349368097,-0.00011851142462695346,-0.0005385436550694254,0.05675954592363261,7.069752066115699,6.636033057851241,calibrib,7761.562500000001,-5.434853306498,-144.5968804046692,470.84963417733013,-1.9045696327699022,406.22788244182846
nine,-0.00032152382358706545,-0.00019859436885688423,-0.0005723898946741246,0.04918032786885246,6.414930555555556,6.692708333333333,calibrib,7793.437500000002,-8.65189380104189,-206.68498029617743,431.4928432568164,-5.603882932218486,282.1111863277587
comma,0.00035125504598796216,0.00046677948327056843,-0.0002445054532998983,0.011857707509881422,1.25,0.8541666666666666,calibrib,8112.187500000001,29.73677664378118,-52.20575431058878,40.305292769864664,32.50962259648486,-13.127918687247142
zero,-4.665581724270645e-05,9.347118671722117e-05,0.0005529878723456094,0.03121852970795569,8.077003121748179,7.60457856399584,calibrii,7881.093750000001,-5.840091471611041,239.69679783029494,317.4047134346972,5.626301368496685,69.0619766611474
one,2.18539399171789e-05,3.153059811822428e-05,0.0005362188475711162,0.02914572864321608,8.725326991676575,3.5219976218787155,calibrii,7944.843750000001,-27.47831881321226,200.18661861457295,249.67005129503676,21.344843078157233,33.76060215383287
two,-2.311297641044838e-05,0.0001445401452256677,0.0005564607387340508,0.03121852970795569,9.204994797086368,5.985431841831425,calibrii,7777.500000000001,21.084660255048927,338.2035858642995,407.3516537253554,-12.147245383908626,73.0014156461267
three,-0.0001105892109144553,0.0001408655169416623,0.0004610975238565182,0.03121852970795569,8.8054110301769,5.067637877211239,calibrii,7857.187500000001,0.10523012735676895,220.01866358772568,343.9092706237957,-1.9621982141725864,155.67261398560396
four,-0.0001511951627298231,0.0001358366735298552,0.0003575006970651705,0.03643724696356275,5.24922839506173,5.354166666666667,calibrii,7857.187500000001,-5.145323402520745,140.9186267302942,377.8013646882632,3.8217371812943153,292.81885870545426
five,-4.68428265522207e-05,7.387619692487155e-05,0.0001724610237010078,0.03434343434343434,9.924740484429066,6.131487889273356,calibrii,7817.343750000001,-7.046750560508445,99.37543463829451,398.7721827148271,-1.2885304687610226,369.0170708078308
six,-7.888064931481146e-05,6.838750705816983e-05,1.8305134578950325e-05,0.03959390862944162,7.254437869822484,7.677843523997369,calibrii,7777.500000000001,2.3111681852839108,-3.370096580559178,453.81055791803306,-3.0316458841697824,447.1238519961648
seven,-0.000274242417015897,8.371199999999953e-05,-2.088454383112766e-05,0.024,8.0,5.472222222222221,calibrii,7857.187500000001,-96.48358840456244,-49.612313525784586,301.5148854496771,-2.707528909279246,373.77952641715314
