label,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13,eig_14,eig_15,eig_16
five,15.15150259345553,-1.1048543559896624,0.490531937292566,0.23140991262078633,0.23140991262078633,-7.522301356184711e-17,-7.522301356184711e-17,4.579573916640012e-16,-1.7795841337497622e-16,5.615524195884847e-17,5.615524195884847e-17,-4.273603187147249e-18,0.0,-7.70371977754896e-34,0.0,0.0
six,15.034481465290481,-1.7954456996068742,0.6331762966990513,0.6331762966990513,-0.6044061607091967,0.09901780162748577,1.7297312317739662e-16,1.7297312317739662e-16,-1.5286044916044569e-16,4.9084531025079065e-17,4.9084531025079065e-17,-1.9514089577148246e-32,1.1984992361310217e-64,8.433758354584419e-81,0.0,0.0
seven,15.288296432973947,-1.0030856407633086,-1.0030856407633086,1.0000000000000007,0.6197084177426748,0.09816643080999708,2.571576596289628e-16,-1.7385026166824886e-16,-1.7385026166824886e-16,-3.3464341603359186e-17,-3.3464341603359186e-17,-3.7337430547901547e-31,-5.992496180655109e-65,0.0,0.0,0.0
eight,15.047938476521917,-1.8998472006276856,0.13953118394728414,0.13953118394728414,-0.42715364378879916,-1.1162462761619148e-08,1.116246204381147e-08,3.5155007650558635e-16,9.671407963437674e-16,4.400596880771002e-17,4.400596880771002e-17,-1.1925819214091182e-16,0.0,2.7369110631344083e-48,0.0,0.0
nine,14.98961539385153,-2.0036228773222327,0.7501649778552258,-0.4142725534352064,-0.4142725534352064,0.09238761248588837,3.868204271625458e-15,8.172372660264593e-16,-4.940632247389747e-16,9.013197638057542e-17,9.013197638057542e-17,-1.3628508692391977e-16,-3.0385816786431356e-64,-5.473822126268817e-48,0.0,0.0
comma,15.874007874011815,0.12599212598818918,8.524365319776438e-18,8.524365319776438e-18,-1.2885212921378284e-16,-7.184307487778542e-32,6.040196912530396e-31,-4.861730685829017e-63,-1.445578365031905e-47,-1.761249790132911e-64,2.0241020051002605e-79,9.651565399784363e-81,6.636772162495863e-114,6.636772162495863e-114,0.0,0.0
zero,15.43365145291574,0.28317427354213126,0.28317427354213126,-5.886666257650149e-16,3.726580177360268e-17,3.726580177360268e-17,-9.84480673106291e-17,5.674710031884946e-17,-2.843230396982626e-17,3.1681227338377295e-17,2.3781180074210523e-18,2.3781180074210523e-18,0.0,-3.4694469519536136e-17,0.0,0.0
one,15.483314773547892,5.4613451238097e-16,0.5166852264521172,-6.832752445280983e-17,9.806140668213059e-17,-4.427993048697617e-17,2.3430056188328033e-17,2.3430056188328033e-17,5.121737910956222e-17,3.103013601035115e-17,-5.030877370380422e-18,0.0,-1.0263416486754031e-48,3.0814879110195774e-33,0.0,0.0
two,15.487366192549612,-0.9587794237200825,0.4714132311704794,3.28269576828309e-16,-1.431875393198634e-17,-1.431875393198634e-17,-8.957367769258969e-17,-8.957367769258969e-17,5.991387086447473e-17,4.509762468117397e-18,4.509762468117397e-18,-2.211147025974412e-17,3.1645534167491596e-48,-1.027162637006529e-33,0.0,0.0
three,15.369744372120078,-0.9337116550483509,0.44510308582702984,0.05943209855062444,0.05943209855062444,4.352048430862579e-16,-2.6511813944125465e-16,-2.6511813944125465e-16,1.722588960900059e-16,-4.8103341907379484e-17,-4.8103341907379484e-17,3.25105392269861e-17,0.0,-2.7755575615628914e-17,0.0,0.0
four,15.211945971652227,-1.0898782483800933,0.5473234592547898,0.3306088174730805,4.591757073686296e-16,6.69091587833615e-17,6.69091587833615e-17,-1.4502250152938252e-16,2.875217687975582e-17,2.875217687975582e-17,-3.5137992569163134e-17,-6.162975822039155e-33,-9.71445146547012e-17,0.0,0.0,0.0
five,15.201692463841683,-0.39023221096868,-0.39023221096868,0.28938597904783936,0.28938597904783936,2.236567523081135e-16,2.236567523081135e-16,-2.3358218194872585e-16,-1.761160205616139e-17,-1.761160205616139e-17,-1.0962301818967256e-16,-3.128042566646234e-33,0.0,0.0,0.0,0.0
six,15.239265591195364,-1.2616259967023715,0.12574821010232629,0.12574821010232629,0.7708639853023611,-4.850874038393306e-17,-4.850874038393306e-17,1.8898429115264617e-16,-7.911832382953907e-17,-7.911832382953907e-17,-3.371847516079445e-17,3.7133037973118537e-31,-2.1895288505075267e-47,0.0,0.0,0.0
seven,15.448916312345887,-0.5637381632378733,0.11482185089198246,1.0,-1.0000000000000004,8.124538037250035e-17,8.124538037250035e-17,-2.0702263529585353e-17,0.9999999999999998,1.6653345369377348e-16,2.4829564591866466e-17,-5.089991849219257e-33,-1.4913544940197048e-57,1.491356212901073e-57,0.0,0.0
eight,15.291987623510114,-1.0063527963426702,-1.0063527963426702,0.6306096774667145,0.09010829170851824,4.475910925735712e-16,4.475910925735712e-16,2.8858585328702634e-16,-3.802755170811874e-17,-3.802755170811874e-17,6.825932791785745e-17,1.3181181602105044e-31,5.992496180655109e-65,0.0,0.0,0.0
nine,15.242232271167735,-1.292973592194824,0.9999999999999993,0.05074132102709168,-4.4256725203413337e-16,-4.4256725203413337e-16,-6.792684424173289e-15,-4.084476832587053e-16,3.070327548744689e-16,4.6269484605039265e-17,4.6269484605039265e-17,6.926189023259779e-17,0.0,6.842277657836021e-49,0.0,0.0
comma,0.0,16.000000000000004,8.758115402030107e-47,7.072312239862361e-31,-1.0644899600020377e-109,1.1179934434257375e-93,-1.035052700659762e-171,1.28542485155729e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero,14.694522449407673,0.6527387752961635,0.6527387752961635,9.65866363240194e-17,9.65866363240194e-17,-2.386103752393284e-16,5.762630934298006e-17,-2.0565458047834865e-31,5.710384169618171e-31,-7.941031387187795e-33,-5.655831144785464e-47,-1.0695807508823839e-61,2.2408581171063486e-78,2.4409001309685516e-77,0.0,0.0
one,15.089787017308165,0.4551064913459193,0.4551064913459193,1.6144883342617255e-16,1.6144883342617255e-16,-1.5463447520804367e-16,-1.0492124989107992e-17,-1.0492124989107992e-17,8.086733570753352e-18,8.086733570753352e-18,-3.1276854796531203e-18,-2.7369110631344083e-48,9.794706158142841e-33,8.433758354584419e-81,-5.697340647455877e-65,0.0
two,14.690649199542088,0.9086572093999387,-0.5993064089420249,-4.3915080386914674e-16,1.159738505713294e-16,1.159738505713294e-16,1.8391340205747807e-16,1.8391340205747807e-16,2.879251871910228e-17,-6.42423211453942e-17,-3.661245064149667e-17,-3.661245064149667e-17,1.5543423612608657e-33,4.7477838728798994e-66,-5.345529420184391e-50,0.0
three,14.94532226349517,-0.2558269243871367,-0.2558269243871367,0.5663315852791017,4.499052179465509e-16,4.499052179465509e-16,-2.9911854148657355e-16,-3.8149509337644124e-17,-3.8149509337644124e-17,1.420508602177634e-17,4.64565288848072e-18,-4.722120892481846e-17,-3.2355623065705595e-32,2.7369110631344083e-48,0.0,0.0
four,14.744093549493359,-1.0810502305204326,0.42685762028126195,0.42685762028126195,0.4832414404645637,7.727183036748455e-16,-4.130357903462397e-17,-4.130357903462397e-17,5.661647364489231e-17,5.661647364489231e-17,-5.0677132983436954e-17,-6.0318808231337214e-18,1.894419145998475e-33,0.0,-1.7105694144590052e-49,0.0
five,14.836386549324093,1.0000000000000004,-0.2880872118498822,-0.2880872118498822,-0.26021212562431434,8.335370877061591e-16,-1.608409881984792e-17,-1.608409881984792e-17,-3.6971936358299133e-16,-3.6971936358299133e-16,1.6087953769051208e-16,7.845212829605165e-17,-6.0279226859923856e-18,2.1382117680737565e-50,2.8888949165808538e-34,0.0
six,14.822696945878349,-1.9126234676320346,-0.13761825503862482,-0.13761825503862482,0.3651630318309328,4.19866451768701e-16,-3.8038469749269704e-16,8.280060454923272e-18,8.280060454923272e-18,-1.3030592550454928e-16,-1.3030592550454928e-16,1.4601486078274734e-17,0.0,-1.7608502348683297e-32,0.0,0.0
seven,15.185790035809681,1.5337713847943806,-0.9180870430169825,-0.9180870430169825,-1.2346503477947048,0.35126301322460163,2.744490986827272e-16,2.744490986827272e-16,-4.5444962850611404e-17,-4.5444962850611404e-17,8.697883706832979e-17,3.0814879110195774e-32,3.0385816786431356e-64,0.0,0.0,0.0
eight,14.813345955511897,-2.548453138211842,-0.2648928173000603,-7.106930915436279e-16,-7.106930915436279e-16,1.2217734856785806e-15,6.289504875396669e-16,-1.3139837291229004e-16,8.206013097609608e-17,8.206013097609608e-17,-7.234058520224378e-17,-2.849081593731271e-36,-2.661202893896645e-80,-1.8726705418768793e-96,0.0,0.0
nine,14.777377094792904,-2.085496100300289,0.3094074533682625,0.3094074533682625,-0.1553479506145643,-0.1553479506145643,4.46228681066483e-17,4.46228681066483e-17,2.0885549575852652e-16,2.0885549575852652e-16,-4.083080639832182e-17,2.131103643349936e-33,-1.064481157558658e-79,-7.490682167507517e-96,0.0,0.0
comma,15.745966692414836,1.2630894076118813e-16,0.2540333075851661,6.469238686614865e-17,6.469238686614865e-17,1.611981186396964e-16,7.926168893792101e-17,-1.5184378535294016e-17,-1.5184378535294016e-17,-1.4122335972214925e-17,9.176602789624271e-18,6.612548140421522e-32,9.360847028010211e-34,1.0542197943230523e-81,1.4243351618639698e-65,0.0
zero,15.628365398621577,0.1858173006892132,0.1858173006892132,-7.312148088416169e-17,-7.312148088416169e-17,1.0750927532222032e-16,1.0750927532222032e-16,-1.0092486983665359e-16,-5.2956722705789e-17,9.21706668001721e-18,9.21706668001721e-18,0.0,1.734723475976807e-18,0.0,0.0,0.0
one,15.68529465813947,0.1573526709302619,0.1573526709302619,-1.7946317000839195e-18,-1.7946317000839195e-18,3.8396762576635374e-17,3.8396762576635374e-17,-4.531034797004736e-31,1.5511239010187737e-32,-8.264570794284497e-49,9.463622920863882e-46,-4.5640948828184016e-63,-2.698802673467014e-78,0.0,0.0,0.0
two,15.685046122623085,-0.952721404527267,0.26767528190419315,1.160595279341989e-16,1.160595279341989e-16,-6.238565373234106e-17,-2.7551018661376923e-17,-2.7551018661376923e-17,8.092846330524319e-18,8.092846330524319e-18,-3.1795116102710696e-18,9.423790142593755e-19,-1.3390131918036921e-34,-5.934729841099874e-67,-8.018294130276587e-51,0.0
three,15.619975104197813,0.19001244790109706,0.19001244790109706,-2.0440510057495639e-16,-2.0440510057495639e-16,1.3468746055780563e-16,-9.607647337262825e-17,4.10614859939976e-17,-3.884026835466503e-17,-1.468424395154666e-17,2.046571568349192e-18,2.046571568349192e-18,0.0,0.0,0.0,0.0
four,15.570047906120342,-0.8180152533336713,0.12398367360667314,0.12398367360667314,5.441958688360305e-16,-2.384260143842385e-16,1.0000000000000004,1.1122260667704037e-16,-3.262535373083101e-17,-3.262535373083101e-17,-4.23498846098765e-17,3.7000252662875976e-33,-1.1984992361310217e-64,-8.433758354584419e-81,0.0,0.0
five,15.700362383917122,-0.4800274620583195,-0.4800274620583195,0.2596925401995232,-1.9211208925502032e-16,3.0149521210976303e-16,6.959491070205094e-17,-2.55095117801012e-17,-2.55095117801012e-17,-1.009089537035826e-32,4.632340987237084e-32,6.420847748819036e-48,1.064481157558658e-79,7.490682167507517e-96,0.0,0.0
six,15.534223370730773,-0.8906869700306952,-0.8906869700306952,-0.7528494306693911,5.3998441170568276e-17,5.3998441170568276e-17,7.27241478220332e-19,7.27241478220332e-19,-2.3562276773152182e-17,-5.390136678135404e-32,7.844905642089413e-32,-7.969726407583308e-49,5.909057452006306e-96,4.15816390625796e-112,0.0,0.0
seven,15.761355820929156,6.419557746292415e-16,-0.7613558209291535,6.456318620799602e-17,6.456318620799602e-17,1.919241353760964e-09,-4.3392522213297014e-16,1.0706025925115395e-16,1.0706025925115395e-16,-6.473142322189281e-17,-1.9192412958559005e-09,0.0,0.0,0.0,0.0,0.0
eight,15.519127134864265,-0.5276422148089619,-0.5276422148089619,0.2680786473768384,0.2680786473768384,4.699721138760634e-16,-3.4624840400595317e-16,6.915102166963822e-16,6.25487666304821e-17,-3.917737086893485e-18,-3.5882185826739145e-30,0.0,0.0,0.0,0.0,0.0
nine,15.643336231719088,-0.5205283530405622,-0.12280787867853228,-4.0060391830668623e-16,-4.0060391830668623e-16,2.427967619745625e-16,-1.0000000000000002,-1.0000000000000007,-1.787231727838103e-16,7.66322329014603e-16,-1.3200999218859154e-31,0.0,0.0,0.0,0.0,0.0
comma,15.937253933193768,0.06274606680622827,1.7186491220729037e-16,1.7186491220729037e-16,-1.4818899118376806e-17,3.379487099202181e-29,5.94325926607776e-32,-3.0949816306861836e-48,1.9082298247296165e-65,3.8511894878019823e-60,-5.779222999507102e-80,-1.2280137477843398e-85,0.0,-1.8593695235068602e-129,0.0,0.0
zero,15.251902530856775,0.3740487345716162,0.3740487345716162,-2.532734356906936e-16,-4.949251892464388e-16,1.6886703110588792e-16,1.6886703110588792e-16,8.580283503611846e-17,8.580283503611846e-17,-3.234654446445519e-17,5.718331941238033e-18,5.718331941238033e-18,0.0,5.416677968589103e-35,0.0,0.0
one,15.389866919029744,-0.38986691902974985,9.084609940713394e-09,-9.084610740605292e-09,2.282017635317216e-16,2.282017635317216e-16,-1.2849388177680292e-16,-1.2849388177680292e-16,5.3685164218297544e-17,-6.798644112545431e-18,2.2416955367994053e-18,2.2416955367994053e-18,0.0,0.0,0.0,0.0
two,15.175971065046925,-0.6686830979532647,0.4927120329063593,2.8168672076199565e-16,-1.8313407319955558e-16,-1.8313407319955558e-16,1.2333790974672832e-16,-6.900664601422934e-17,5.952461709605516e-17,-2.369693381220696e-17,-4.492907089682326e-18,5.837550700418645e-18,-3.848781182532761e-49,-3.848781182532761e-49,0.0,0.0
three,15.401667722817264,-0.35836342081465045,-0.35836342081465045,0.3150591188120559,3.3013593229518007e-16,3.3013593229518007e-16,3.552274148506307e-17,3.552274148506307e-17,3.4477749217477374e-18,-7.56717109149509e-31,-7.56717109149509e-31,-4.770101626471162e-48,-2.1590421387736112e-78,2.066235541477328e-62,0.0,0.0
four,15.224995555635711,-1.0795498424581946,0.12186705030245386,0.12186705030245386,0.610820186217585,1.2570278054148817e-16,1.2570278054148817e-16,-2.643948792271936e-16,9.440263059090623e-17,-9.151353569391012e-17,-9.151353569391012e-17,0.0,0.0,-1.232595164407831e-32,0.0,0.0
five,15.543745945912606,-1.5353432123449364,0.3610237834701347,-0.18471325851890635,-0.18471325851890635,2.460162681006681e-16,-3.081405021453776e-16,8.621389308200539e-17,6.423467732553593e-19,6.423467732553593e-19,-9.191925649495108e-18,1.0497167903142404e-32,-5.992496180655109e-65,0.0,0.0,0.0
six,15.22079683016517,-1.3181341205314572,-1.3181341205314572,0.4154714108977401,-3.2520188985732853e-16,1.4767776901951691e-16,1.4767776901951691e-16,3.4954087023500787e-16,6.832905015335818e-17,2.3998716983360555e-17,0.0,5.212870114322135e-31,1.1818114904012613e-95,0.0,0.0,0.0
seven,15.422713581564402,1.254236813542416,-1.127662407915333,-1.127662407915333,-0.421625579276161,3.1449451953630133e-16,-3.532967385309962e-16,1.3509992701353372e-16,1.3509992701353372e-16,-4.6178269369586975e-17,-4.6178269369586975e-17,1.8605673407117105e-34,1.6632518086854032e-81,1.1704190886730496e-97,0.0,0.0
eight,15.036600249421323,-2.0557498305294937,-0.6147675272170292,0.5356832792700251,0.09823382905518054,-9.754583287980385e-16,8.529021136591269e-16,1.640918454589385e-16,1.640918454589385e-16,6.419932520566104e-17,-1.4188245777284372e-17,0.0,0.0,0.0,0.0,0.0
nine,15.13116164545983,-1.1111721617792045,-1.1111721617792045,0.09118267809857435,6.113544491510415e-09,-6.1135443844350215e-09,-1.1223677309671464e-16,-1.1223677309671464e-16,4.552889659908102e-16,1.3472292864491314e-16,3.7172627208052585e-17,-5.910611135101291e-32,1.703169852093853e-78,1.1985091468012028e-94,0.0,0.0
